City,Race,Gender,Class,Age,Education,Wage
New York,White,Female,Private,36 to 45,undergraduate,medium
New York,White,Female,Private,16 to 25,undergraduate,low
New York,White,Male,Private,26 to 35,undergraduate,medium
New York,White,Female,Private,36 to 45,undergraduate,medium
New York,White,Female,Private,26 to 35,graduate,medium
Miami,White,Female,Private,46 to 55,undergraduate,low
Miami,White,Male,Private,16 to 25,undergraduate,low
Miami,White,Male,Private,46 to 55,high school,medium
Miami,White,Male,Private,above 55,high school,medium
Miami,White,Female,Private,36 to 45,undergraduate,low
Miami,Black,Female,Private,26 to 35,undergraduate,low
Miami,Black,Female,Private,26 to 35,undergraduate,low
Miami,White,Male,Private,46 to 55,high school,medium
Miami,White,Female,Private,36 to 45,high school,low
Miami,White,Male,Private,16 to 25,undergraduate,low
Miami,White,Male,Private,36 to 45,high school,low
Miami,White,Female,Private,36 to 45,high school,low
Miami,White,Female,Private,16 to 25,undergraduate,low
Miami,White,Male,Private,16 to 25,undergraduate,low
Miami,White,Male,Private,26 to 35,graduate,high
Miami,Black,Male,Private,36 to 45,high school,medium
Miami,Black,Male,Government,16 to 25,undergraduate,low
Miami,White,Female,Private,46 to 55,undergraduate,medium
Miami,White,Male,Private,46 to 55,high school,medium
Miami,White,Female,Private,46 to 55,high school,low
Miami,White,Male,Private,16 to 25,high school,low
Miami,White,Female,Private,16 to 25,high school,low
Miami,White,Male,Private,46 to 55,high school,medium
Miami,White,Female,Private,46 to 55,high school,low
Miami,White,Female,Private,16 to 25,undergraduate,low
Miami,White,Male,Private,above 55,undergraduate,low
Miami,White,Male,Private,16 to 25,high school,low
Miami,White,Male,Private,above 55,high school,low
Miami,White,Female,Private,36 to 45,high school,low
Miami,White,Male,Private,46 to 55,undergraduate,medium
Miami,White,Female,Private,16 to 25,graduate,medium
Miami,White,Female,Private,26 to 35,graduate,low
Miami,White,Female,Private,46 to 55,high school,low
Miami,White,Female,Private,26 to 35,undergraduate,low
Miami,Black,Male,Private,36 to 45,high school,low
Miami,Black,Male,Government,46 to 55,high school,medium
Miami,Black,Male,Private,16 to 25,undergraduate,low
Miami,Black,Male,Government,26 to 35,undergraduate,low
Miami,White,Female,Private,46 to 55,high school,low
Miami,White,Male,Government,16 to 25,graduate,medium
Miami,Black,Female,Private,36 to 45,high school,low
Miami,White,Male,Private,16 to 25,undergraduate,low
Miami,White,Male,Private,above 55,high school,medium
Miami,Black,Male,Private,26 to 35,high school,medium
Miami,White,Male,Private,26 to 35,undergraduate,medium
